"","web_url","snippet","print_page","source","pub_date","document_type","new_desk","type_of_material","X_id","word_count","score","uri","section_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","byline.original","byline.organization"
"295","https://www.nytimes.com/aponline/2018/03/27/us/ap-financial-markets-markets-right-now.html","The latest on developments in financial markets (all times local):",NA,"AP","2018-03-27T13:42:02+0000","article","None","News","5aba4a2e47de81a901217e05",395,0.0021388242,"nyt://article/6ce143a3-49b7-546b-bea4-f3de94edcb78",NA,"Markets Right Now: Tech Slide Leads Stocks Sharply Lower",NA,NA,"Markets Right Now: Tech Slide Leads Stocks Sharply Lower",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"296","https://www.nytimes.com/reuters/2018/03/26/business/26reuters-usa-stocks-instantview.html","The main U.S. stock indices advanced more than 2 percent on Monday, helping recoup some of last week's losses, amid signs that the United States and China were willing to negotiate on tariffs eased concerns about a trade war between the two countr...",NA,"Reuters","2018-03-26T19:10:56+0000","article","None","News","5ab945c347de81a9012177a0",727,0.0021361632,"nyt://article/6623dc82-3324-5d31-a946-1e6dd0b825ad",NA,"Wall Street Rebounds on Hopes for U.S.-China Talks on Trade",NA,NA,"Wall Street Rebounds on Hopes for U.S.-China Talks on Trade",NA,NA,NA,"By REUTERS","REUTERS"
"297","https://www.nytimes.com/2018/03/28/world/australia/welcome-to-the-neighborhood.html","After enduring the struggle to buy a home, a multicultural crowd of friends gathers for a Hindu celebration.",NA,"The New York Times","2018-03-28T04:02:40+0000","article","Foreign","News","5abb13e347de81a90121858d",443,0.0021348598,"nyt://article/9e7ba921-a4fb-5a23-9a8c-9d7374d838f1","Australia","Welcome to the Neighborhood","Australia Diary","Australia Diary","Welcome to the Neighborhood",NA,NA,NA,"By DIANA OLIVA CAVE",NA
"298","https://www.nytimes.com/2018/03/27/business/tech-stocks-tesla-nvidia.html","Shares of Nvidia and Tesla were among the biggest losers in trading on Tuesday, as investors continued to lose interest in the once-hot tech sector.","3","The New York Times","2018-03-27T21:04:20+0000","article","Business","News","5abab1d747de81a9012182d0",614,0.0021348167,"nyt://article/96a7dd7f-8527-5d0b-b678-84f69cead89d",NA,"Technology Companies Drag Stock Markets Down Again",NA,NA,"A Rough Stretch for the Cars of the Future Drags Down Tech Shares",NA,NA,NA,"By MATT PHILLIPS",NA
"299","https://www.nytimes.com/aponline/2018/03/28/world/middleeast/ap-ml-israel-digital-health-.html","Israel announced Wednesday it was launching a domestic digital health database that could make it a global medical powerhouse. The move aims to improve public health worldwide but critics warn it risks compromising personal privacy.",NA,"AP","2018-03-28T13:51:03+0000","article","None","News","5abb9dca47de81a90121898c",416,0.0021291084,"nyt://article/157d554c-b730-52a9-ad4f-a06c3fc63beb","Middle East","Israel Hopes New Database Will Make It Medical Powerhouse",NA,NA,"Israel Hopes New Database Will Make It Medical Powerhouse",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"300","https://www.nytimes.com/reuters/2018/03/28/world/africa/28reuters-kenya-politics.html","A Kenyan high court judge found the Interior Minister and the police chief guilty of contempt on Wednesday and told them to appear for sentencing because they failed to obey a court order to release a detained opposition politician.",NA,"Reuters","2018-03-28T13:21:05+0000","article","None","News","5abb96c347de81a901218934",462,0.0021288013,"nyt://article/24320a0b-42ea-5d2c-880f-103954bf9f43","Africa","Kenyan Minister, Police Chief Found in Contempt; Opposition Politician Deported",NA,NA,"Kenyan Minister, Police Chief Found in Contempt; Opposition Politician Deported",NA,NA,NA,"By REUTERS","REUTERS"
"301","https://www.nytimes.com/2018/03/23/business/dealbook/dropbox-ipo-shares-venture-capital.html","Shares of the file-sharing company jumped 36 percent on their first day of trading Friday. The debut is a promising sign for other start-ups.",NA,"The New York Times","2018-03-23T16:59:00+0000","article","Business","News","5ab5325847de81a9012162f5",899,0.0021288514,"nyt://article/170f62cd-97f6-5bb6-a5a2-d7a3da0ce030","DealBook","Dropbox Shares Leap in I.P.O., and Silicon Valley Smiles",NA,NA,"",NA,NA,NA,"By MATT PHILLIPS",NA
"302","https://www.nytimes.com/2018/03/28/world/australia/welcome-to-the-neighborhood.html","After enduring the struggle to buy a home, a multicultural crowd of friends gathers for a Hindu celebration.",NA,"The New York Times","2018-03-28T04:02:40+0000","article","Foreign","News","5abb13e347de81a90121858d",443,0.0021279124,"nyt://article/9e7ba921-a4fb-5a23-9a8c-9d7374d838f1","Australia","Welcome to the Neighborhood","Australia Diary","Australia Diary","Welcome to the Neighborhood",NA,NA,NA,"By DIANA OLIVA CAVE",NA
"303","https://www.nytimes.com/aponline/2018/03/23/us/ap-not-real-news.html","A roundup of some of the most popular but completely untrue headlines of the week. None of these stories is legit, even though they were shared widely on social media. The Associated Press checked these out; here are the real facts:",NA,"AP","2018-03-23T20:06:21+0000","article","None","News","5ab55e4147de81a9012164d1",469,0.0021237757,"nyt://article/d57453f7-5a49-5744-b52e-b0b3fe0957aa",NA,"NOT REAL NEWS: A Look at What Didn't Happen This Week",NA,NA,"NOT REAL NEWS: A Look at What Didn't Happen This Week",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"304","https://www.nytimes.com/2018/03/23/arts/television/seth-meyers-trump-biden-twitter-feud.html","Meyers and other hosts had fun speculating about how actual fisticuffs between the tough-talking political septuagenarians would play out.",NA,"The New York Times","2018-03-23T09:22:23+0000","article","Culture","News","5ab4c75447de81a901215e1c",441,0.0021172029,"nyt://article/11719e68-c01d-56f8-a67a-3e739fa5a411","Television","Seth Meyers on Trump vs. Biden: ‘Can You Imagine That Fight?’","Best of Late Night","Best of Late Night","Seth Meyers on Trump vs. Biden: ‘Can You Imagine That Fight?’",NA,NA,NA,"By GIOVANNI RUSSONELLO",NA
"305","https://www.nytimes.com/aponline/2018/03/27/us/ap-financial-markets-markets-right-now.html","The latest on developments in financial markets (all times local):",NA,"AP","2018-03-27T13:42:02+0000","article","None","News","5aba4a2e47de81a901217e05",395,0.0021161756,"nyt://article/6ce143a3-49b7-546b-bea4-f3de94edcb78",NA,"Markets Right Now: Tech Slide Leads Stocks Sharply Lower",NA,NA,"Markets Right Now: Tech Slide Leads Stocks Sharply Lower",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"306","https://www.nytimes.com/aponline/2018/03/27/world/asia/ap-as-cambodia-politics.html","Cambodia's leader on Tuesday rejected the idea of reconciliation talks with the country's only significant opposition party, which was dissolved by court order last November.",NA,"AP","2018-03-27T09:03:04+0000","article","None","News","5aba08d347de81a901217c50",481,0.0021126855,"nyt://article/2470b156-be53-59c0-93bb-8a1494658c8d","Asia Pacific","Cambodia's Leader Says No Negotiations With Opposition",NA,NA,"Cambodia's Leader Says No Negotiations With Opposition",NA,NA,NA,"By THE ASSOCIATED PRESS","THE ASSOCIATED PRESS"
"307","https://www.nytimes.com/reuters/2018/03/26/technology/26reuters-india-dataprotection-politics.html","A social media furor over data privacy on Indian political party apps escalated on Monday with the ruling Bharatiya Janata Party and opposition Indian National Congress trading barbs.",NA,"Reuters","2018-03-26T12:41:45+0000","article","None","News","5ab8ea8d47de81a9012173f5",392,0.002103867,"nyt://article/18e2308c-3d84-5c79-976f-3894b270e4e9",NA,"India's BJP, Congress Trade Barbs Over Data Privacy",NA,NA,"India's BJP, Congress Trade Barbs Over Data Privacy",NA,NA,NA,"By REUTERS","REUTERS"
